0 13011 5841 W
1 12491 10188 W
2 5986 4374 I
3 9139 8744 W
4 6847 5952 I
5 10841 13250 W
6 8681 8676 W
7 4041 5991 I
8 10540 11994 W
9 11615 4879 W
10 6579 2713 I
11 6319 3800 I
12 7919 2351 I
13 10954 4677 I
14 11172 4680 I
15 3111 8367 I
16 8530 11875 W
17 9601 11794 W
18 9908 10833 W
19 6808 12288 W
20 6867 9590 I
21 8473 8242 W
22 12073 8080 W
23 7888 11764 W
24 4716 4106 I
25 9318 11876 W
26 9005 9862 W
27 12918 6242 W
28 4763 9581 I
29 9769 9178 W
30 5872 3534 I
31 7995 3930 I
32 5500 4591 I
33 4508 10449 I
34 8644 2454 I
35 10757 9970 W
36 10617 3270 I
37 9746 3056 I
38 10364 12136 W
39 3573 7255 I
40 11759 8092 W
41 8180 12880 W
42 10226 6381 W
43 7032 12268 W
44 11730 4252 I
45 10975 3875 I
46 11949 7325 W
47 8707 12351 W
48 12167 9299 W
49 11924 6211 W
50 5527 9169 I
51 7930 12583 W
52 5481 8512 I
53 9840 8395 W
54 5721 5975 I
55 4945 5280 I
56 4982 8438 I
57 7517 3848 I
58 5646 9779 I
59 9388 6175 I
60 11060 6978 W
61 4766 3405 L
62 2706 10151 I
63 8266 10640 W
64 9389 6349 I
65 10175 10946 W
66 3737 5643 L
67 7687 2556 I
68 8109 2778 I
69 9559 12637 W
70 14585 6896 W
71 3679 7593 I
72 10959 9672 W
73 5888 7536 I
74 10231 8162 W
75 11184 5932 W
76 5461 11167 I
77 5126 4791 I
78 6088 9225 I
79 9485 11847 W
80 6938 4446 I
81 13187 7724 W
82 4675 4651 I
83 10863 3241 I
84 10531 7597 W
85 4236 6550 I
86 10172 4744 I
87 3832 7747 I
88 10434 8994 W
89 5673 9723 I
90 6907 11809 W
91 6724 1405 I
92 5053 7522 I
93 8180 8618 I
94 13122 5501 W
95 11753 8423 W
96 12235 9960 W
97 14171 5200 W
98 5703 9825 I
99 12547 5376 W
100 4288 5173 I
101 6081 5975 I
102 8602 5323 I
103 9000 6976 I
104 5066 5410 I
105 14283 6324 W
106 10379 6734 W
107 10213 2878 I
108 11086 11238 W
109 7407 8449 I
110 5950 6292 I
111 8826 5702 I
112 6609 6177 I
113 4471 10170 I
114 6078 5373 I
115 10283 4715 I
116 6898 5276 I
117 4376 7647 I
118 7665 2064 I
119 7105 3723 I
120 5668 11995 I
121 5044 8386 I
